Mixture	blood_highCXCR4_plasmacell	blood_lowCXCR4_plasmacell	blood_end_plasmacell	tonsil_lowCD74_plasmacell	blood_cycling_plasmacell	tonsil_cycling_plasmacell	tonsil_highCD74_plasmacell	blood_plasmablast	P-value	Correlation	RMSE
MMRF_2761	0.513537393854642	0	0.320243028317035	0	0.1522346883634	0	0.0139848894649231	0	0	0.964833879864266	0.473089505197085
MMRF_1242	0.304475585032804	0.371979355442149	0	0.146382011633353	0	0.103729992048308	0	0.0734330558433857	0	0.136352134828546	1.08322358292216
MMRF_1997	0.335766010775989	0.246259778557959	0	0.162525752003776	0	0.121905119660749	0.0168006112197008	0.116742727781827	0	0.558122826044088	0.829595848594383
MMRF_2559	0.148301504251548	0.280327044834945	0	0.372181252202485	0	0.124397316632933	0.0189719953257642	0.0558208867523241	0	0.114323642459855	1.04698291744074
MMRF_2307	0.343136052038886	0.233496227174692	0	0.303035699870864	0	0.0455114633589383	0.00534862114998045	0.0694719364066386	0	0.118027596032638	1.08802153683964
MMRF_1560	0.549197454257956	0	0.0156504843871444	0.19089924511607	0.239970243198049	0	0.00244988924355164	0.00183268379722864	0	0.844805618417511	0.545644878095451
MMRF_1719	0.244049355318019	0.239532087062639	0	0.389919905505331	0	0.102206490068381	0	0.0242921620456297	0	0.0998675926194115	1.07202711683642
MMRF_1335	0.334735125417715	0	0.330206936527555	0	0.318056849320383	0	0.0170010887343457	0	0	0.95218998842375	0.46253059906923
MMRF_2697	0.427223859186079	0.0688141741269691	0	0.273363445846812	0	0.0415423166388597	0.075556592251962	0.113499611949319	0	0.578674888799488	0.815425984199204
MMRF_1231	0.339167850958575	0.110439194981158	0.340754896162358	0.0522887306639536	0	0.0781945388843018	0.00531098068576964	0.0738438076638837	0	0.880473870499004	0.614934758095948
MMRF_2074	0.563000354286555	0	0.172240648242714	0.205481949931311	0.0263687636544807	0	0.0329082838849387	0	0	0.931261596787142	0.378892189177455
MMRF_2232	0.203189274613818	0.227875314481536	0.42094267501893	0.105507905339183	0	0.0424848305465321	0	0	0	0.9507721307282	0.535491674317043
MMRF_1308	0.570660980067466	0	0.18326238764544	0.188551387668653	0.0522708509653726	0	0.00525439365306826	0	0	0.911214858353087	0.441436087745332
MMRF_1314	0.535795252625491	0	0.209809690355023	0.169353304043068	0.0611321114963622	0	0.0239096414800558	0	0	0.841830564522462	0.601425573794134
MMRF_1773	0.313665507340668	0.139686167058882	0.018437471747616	0.469832441285147	0	0.0536503051990063	0	0.00472810736868029	0	0.393514724422367	0.934101927062486
MMRF_1690	0.476588030521071	0	0.34416037554616	0.0745827308567879	0.0953611194131969	0	0.0093077436627841	0	0	0.972571519991076	0.460329623588944
MMRF_1100	0.451832258763992	0	0.507549634996304	0	0.019621497546115	0	0.0209966086935886	0	0	0.957880406890444	0.789732252319233
MMRF_2453	0.437897877735241	0	0.125796623790799	0.353658292861067	0.075101395123915	0	0.00754581048897826	0	0	0.895495422019119	0.446660152245761
MMRF_2017	0.483704992902238	0	0.388289466571912	0	0.0837455654310739	0	0.0261902786182064	0.0180696964765693	0	0.976775913656269	0.53741035400638
MMRF_1998	0.346882744775686	0	0.597155936538504	0	0.0315763688028788	0	0.0243849498829313	0	0	0.979708275618999	0.865297713275649
MMRF_2401	0.302005764803325	0	0.488311125260119	0	0.182091805698384	0	0.0275913042381712	0	0	0.971506491867827	0.662227107475046
MMRF_1587	0.251466969093319	0.230544747946013	0	0.370295719290568	0.0718135691370104	0	0.0334872263152028	0.0423917682178868	0	0.487360687034808	0.873664438942084
MMRF_1432	0.194343262080379	0.202365462344662	0.416982704898645	0.0286380578776797	0.157670512798634	0	0	0	0	0.961561279072734	0.522676610474192
MMRF_1277	0.211281566202273	0.0296512904418976	0.175088337493095	0.467707138328207	0.116271667534527	0	0	0	0	0.915072069727266	0.412744013692523
MMRF_2743	0.249332393727211	0.0757092905486341	0	0.639874436116997	0	0.0315355056727937	0	0.00354837393436455	0	0.54852256070848	0.840776749051176
MMRF_1854	0.121650202750758	0.587880347067814	0	0.175025325309275	0	0.0424210208174228	0.0223886820700743	0.0506344219846567	0	0.0678064790130581	1.09109514225372
MMRF_1389	0.348385818937695	0.372933676396361	0	0.168761778453942	0	0.030508431244378	0	0.0794102949676239	0	0.058298626972657	1.13766145884555
MMRF_1293	0.342119085803614	0.362934081559499	0	0.166933844660639	0	0.0544688777203174	0	0.0735441102559307	0	0.458665593081862	0.899245675756692
MMRF_1721	0.400757484306109	0.187149428228326	0.206262127891793	0.18686469287857	0	0.0175465793683794	0	0.00141968732682283	0	0.840733242055633	0.577191141009592
MMRF_2380	0.256000520585272	0.374063035087704	0	0.183143846663416	0	0.0442795453184532	0.0523447001532457	0.0901683521919096	0	0.453005456768593	0.895957238182269
MMRF_2692	0.434899546105705	0	0.322879697500487	0	0.201630849268588	0	0.0304018168052335	0.0101880903199864	0	0.979152433375346	0.399287017766483
MMRF_1260	0.186943841518571	0.116027918213241	0	0.530302786045547	0	0.110516835336099	0.0124765122872256	0.0437321065993175	0	0.205098498055157	1.00380769860624
MMRF_1944	0.53988765837732	0	0.331650724906477	0	0.0717752522564114	0	0.0305409008229231	0.0261454636368682	0	0.819131747014056	0.802814149416878
MMRF_2579	0.530998077593923	0	0.305919765287535	0.0165728840939036	0.139756810337279	0	0.00342648272783574	0.00332597995952347	0	0.950875068446382	0.493210395437985
MMRF_2119	0.415468563892934	0	0	0.559842773501318	0	0.0246886626057485	0	0	0	0.385621801952426	0.937500463370848
MMRF_2599	0.395805914713448	0	0.194822708842548	0.274708845691067	0.134662530752937	0	0	0	0	0.951429816192116	0.310971707973103
MMRF_1879	0.587577056093741	0.160413366803226	0	0	0	0.0740034393524922	0.0365102152393326	0.141495922511208	0	0.614467352684623	0.794843858157043
MMRF_2757	0.190134641480522	0.323020280479405	0	0.185405088855418	0	0.147578338853911	0.0677395236150918	0.086122126715652	0	0.0837750000255731	1.07486915212851
MMRF_2488	0.102098741635402	0.443186646598826	0	0.402872164521149	0	0.0313285972205721	0	0.0205138500240517	0	0.472461522565976	0.881358108963685
MMRF_2310	0.309667870493389	0.263275153596947	0	0.272329843876004	0	0.113074231604499	0.0237571765285093	0.017895723900651	0	0.254179376806117	1.01169192725001
MMRF_1401	0.600586351372513	0	0.309003342826605	0	0.0711396672319917	0	0.0117484008489425	0.00752223771994853	0	0.87655455769437	0.691035318396177
